Код дилера;Сервисный код дилера;;;Код SAP площадки;;Контрагент;;Модель;Код модели;Год производства;Рабочий объем;Тип двигателя;Стоимость работ;;;;;;Стоимость запчастей;;;;;;Стоимость запчастей PL-2;;;Итого - ремонт;;;;;;Итого - PL-2 ремонт;;
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Solaris;HCR;2017 -;1.4;Бензиновый;6835,00;7975,00;6835,00;10635,00;6835,00;7975,00;5932,80;8235,00;5932,80;10421,00;5932,80;8235,00;8336,80;4746,24;6588,00;12767,80;16210,00;12767,80;21056,00;12767,80;16210,00;18971,80;11581,24;14563,00
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Solaris;HCR;2017 -;1.6;Бензиновый;6835,00;7975,00;6835,00;10635,00;6835,00;7975,00;5932,80;8235,00;5932,80;10421,00;5932,80;8235,00;8336,80;4746,24;6588,00;12767,80;16210,00;12767,80;21056,00;12767,80;16210,00;18971,80;11581,24;14563,00
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Solaris;RBR;2011 - 2016;1.4;Бензиновый;6835,00;7975,00;6835,00;10635,00;6835,00;7975,00;6425,00;8726,00;6425,00;11095,00;6425,00;8726,00;8876,00;5140,00;6980,80;13260,00;16701,00;13260,00;21730,00;13260,00;16701,00;19511,00;11975,00;14955,80
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Solaris;RBR;2011 - 2016;1.6;Бензиновый;6835,00;7975,00;6835,00;10635,00;6835,00;7975,00;6425,00;8726,00;6425,00;11095,00;6425,00;8726,00;8876,00;5140,00;6980,80;13260,00;16701,00;13260,00;21730,00;13260,00;16701,00;19511,00;11975,00;14955,80
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;i30;Gde;2012 - 2017;1.4;Бензиновый;6455,00;8735,00;6455,00;10635,00;6455,00;8735,00;7441,00;10062,00;7441,00;11957,00;7441,00;10062,00;9565,60;5952,80;8049,60;13896,00;18797,00;13896,00;22592,00;13896,00;18797,00;20200,60;12407,80;16784,60
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;i30;Gde;2012 - 2017;1.6;Бензиновый;6455,00;8735,00;6455,00;10635,00;6455,00;8735,00;7441,00;10062,00;7441,00;11957,00;7441,00;10062,00;9565,60;5952,80;8049,60;13896,00;18797,00;13896,00;22592,00;13896,00;18797,00;20200,60;12407,80;16784,60
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;i30;PDe;2017 -;1.4;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;i30;PDe;2017 -;1.6;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;i30n;PDeN;2018 -;2.0;Бензиновый;;;;;;;;;;;;;;;;;;;;;;;;
RC506;01149;;;C40AF01149;;КлючАвто Люберцы;;Elantra;MD;2011 - 2016;1.6;Бензиновый;6835,00;7975,00;6835,00;10635,00;6835,00;7975,00;6695,00;9320,00;6695,00;12150,00;6695,00;9320,00;9720,00;5356,00;7456,00;13530,00;17295,00;13530,00;22785,00;13530,00;17295,00;20355,00;12191,00;15431,00
