"Код SAP площадки";"Контрагент";;"Модель";"Рабочий объем";"Тип двигателя";"Стоимость работ";;;;;;"Стоимость запчастей";;;;;;"Стоимость запчастей PL-2";;;"Итого - ремонт";;;;;;"Итого - PL-2 ремонт";;
;;;;;;"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"C40AF00998";"Феникс-Авто НМ";;"Solaris New";"1.4";"Бензиновый";2380;3230;2380;4080;2380;3230;4915;6015;4915;8495;4915;6015;5765;4665;5765;7295;9245;7295;12575;7295;9245;9845;7045;8995
"C40AF00998";"Феникс-Авто НМ";;"Solaris New";"1.6";"Бензиновый";2380;3230;2380;4080;2380;3230;4915;8015;4915;10495;4915;8015;10205;4665;7765;7295;11245;7295;14575;7295;11245;14285;7045;10995
"C40AF00998";"Феникс-Авто НМ";;"Solaris";"1.4";"Бензиновый";2380;3230;2380;4080;2380;3230;4978;8078;4978;10073;4978;8078;6142;3950;5050;7358;11308;7358;14153;7358;11308;10222;6330;8280
"C40AF00998";"Феникс-Авто НМ";;"Solaris";"1.6";"Бензиновый";2380;3230;2380;4080;2380;3230;4978;8078;4978;10079;4978;8078;6142;3950;5050;7358;11308;7358;14159;7358;11308;10222;6330;8280
"C40AF00998";"Феникс-Авто НМ";;"i30";"1.4";"Бензиновый";2380;3230;2380;3600;2380;3230;6305;9405;6305;10854;6305;9405;10854;6305;9405;8685;12635;8685;14454;8685;12635;14454;8685;12635
"C40AF00998";"Феникс-Авто НМ";;"i30";"1.6";"Бензиновый";2380;3230;2380;3600;2380;3230;6305;9405;6305;10854;6305;9405;10854;6305;9405;8685;12635;8685;14454;8685;12635;14454;8685;12635
"C40AF00998";"Феникс-Авто НМ";;"Elantra";"1.6";"Бензиновый";2660;3610;2660;3600;2660;3610;5515;6615;5515;8795;5515;6615;8795;5515;6615;8175;10225;8175;12395;8175;10225;12395;8175;10225
"C40AF00998";"Феникс-Авто НМ";;"Elantra";"1.8";"Бензиновый";2660;3610;2660;3600;2660;3610;5515;6615;5515;8795;5515;6615;8795;5515;6615;8175;10225;8175;12395;8175;10225;12395;8175;10225
"C40AF00998";"Феникс-Авто НМ";;"Elantra new";"1.6";"Бензиновый";2660;3610;2660;3600;2660;3610;6005;9105;6005;10555;6005;9105;10265;5715;8815;8665;12715;8665;14155;8665;12715;13865;8375;12425
